user_id	recommended_movies
12779	['the+shawshank+redemption+1994', 'fight+club+1999', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'raiders+of+the+lost+ark+1981', 'a+close+shave+1995', 'ricky+gervais+live+animals+2003', 'holiday+inn+1942', 'the+matrix+1999', 'the+kingdom+1994', 'sunset+boulevard+1950', 'life+is+beautiful+1997', 'big+hero+6+2014', 'one+man+band+2005', 'inglourious+basterds+2009', 'rear+window+1954', 'the+graduate+1967', 'off+the+charts+the+song-poem+story+2003', 'the+lord+of+the+rings+the+return+of+the+king+2003', 'cinema+paradiso+1988', 'cinderella+man+2005']
498106	['the+shawshank+redemption+1994', 'the+matrix+1999', 'the+great+escape+1963', 'the+lord+of+the+rings+the+two+towers+2002', 'a+close+shave+1995', 'm+1931', 'the+usual+suspects+1995', 'life+is+beautiful+1997', 'blade+runner+1982', 'fight+club+1999', 'the+princess+bride+1987', 'inglourious+basterds+2009', 'princess+mononoke+1997', 'the+conversation+1974', 'the+boy+in+the+striped+pyjamas+2008', 'seven+samurai+1954', 'a+boy+named+charlie+brown+1969', 'running+on+empty+1988', 'madison+avenue+1962', 'infernal+affairs+2002']
426319	['the+shawshank+redemption+1994', 'fight+club+1999', 'the+good_+the+bad+and+the+ugly+1966', 'lost+in+translation+2003', 'inglourious+basterds+2009', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'shadow+of+a+doubt+1943', 'sunset+boulevard+1950', 'blade+runner+1982', 'the+great+escape+1963', 'le+trou+1960', 'a+patch+of+blue+1965', 'raiders+of+the+lost+ark+1981', 'donnie+darko+2001', 'the+lives+of+others+2006', 'the+usual+suspects+1995', 'on+thin+ice+2009', 'inception+2010', 'harry+potter+and+the+prisoner+of+azkaban+2004', 'libeled+lady+1936']
172731	['the+shawshank+redemption+1994', 'the+godfather+1972', 'life+is+beautiful+1997', 'fight+club+1999', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'the+lives+of+others+2006', 'seven+samurai+1954', 'a+clockwork+orange+1971', 'raiders+of+the+lost+ark+1981', 'black+cat_+white+cat+1998', 'amlie+2001', 'the+graduate+1967', 'aliens+1986', 'schindlers+list+1993', 'tsotsi+2005', 'dr.+strangelove+or+how+i+learned+to+stop+worrying+and+love+the+bomb+1964', 'the+usual+suspects+1995', 'the+lord+of+the+rings+the+two+towers+2002', 'the+saint+1997', 'the+matrix+1999']
284810	['the+shawshank+redemption+1994', 'the+matrix+1999', 'fight+club+1999', 'life+is+beautiful+1997', 'mother+lode+1982', 'seven+samurai+1954', 'the+usual+suspects+1995', 'chappie+2015', 'pans+labyrinth+2006', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'amlie+2001', 'inglourious+basterds+2009', 'twelve+monkeys+1995', 'blade+runner+1982', 'the+avengers+2012', 'the+lives+of+others+2006', 'schindlers+list+1993', 'dial+m+for+murder+1954', 'infernal+affairs+2002', 'raiders+of+the+lost+ark+1981']
242014	['the+matrix+1999', 'the+shawshank+redemption+1994', 'seven+samurai+1954', 'fight+club+1999', 'the+godfather+1972', 'what+women+want+2000', 'raiders+of+the+lost+ark+1981', 'blade+runner+1982', 'the+princess+bride+1987', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'star+wars+1977', 'schindlers+list+1993', 'trainspotting+1996', 'inception+2010', 'lawrence+of+arabia+1962', 'sanjuro+1962', 'inglourious+basterds+2009', 'the+usual+suspects+1995', 'unbroken+2014', 'the+maltese+falcon+1931']
27525	['schindlers+list+1993', 'amlie+2001', 'the+shawshank+redemption+1994', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'the+usual+suspects+1995', 'life+is+beautiful+1997', 'seven+samurai+1954', 'the+matrix+1999', 'la+femme+nikita+1990', 'blade+runner+1982', 'incendies+2010', 'raise+the+red+lantern+1991', 'raiders+of+the+lost+ark+1981', 'the+muppet+movie+1979', 'star+wars+1977', 'inglourious+basterds+2009', 'dont+look+back+2009', 'rashomon+1950', 'fight+club+1999', 'hatchet+ii+2010']
490523	['the+matrix+1999', 'fight+club+1999', 'the+shawshank+redemption+1994', 'blade+runner+1982', 'the+lives+of+others+2006', 'fargo+1996', 'rear+window+1954', 'life+is+beautiful+1997', 'gone+2012', 'sunset+boulevard+1950', 'seven+samurai+1954', 'a+clockwork+orange+1971', 'design+for+scandal+1941', 'm+1931', 'a+close+shave+1995', 'harry+potter+and+the+prisoner+of+azkaban+2004', 'inception+2010', 'beauty+and+the+beast+1991', 'amlie+2001', 'the+possession+of+joel+delaney+1972']
373997	['the+shawshank+redemption+1994', 'blade+runner+1982', 'the+usual+suspects+1995', 'pulp+fiction+1994', 'the+matrix+1999', 'inglourious+basterds+2009', 'the+lord+of+the+rings+the+two+towers+2002', 'star+wars+1977', 'fight+club+1999', 'life+is+beautiful+1997', 'the+princess+bride+1987', 'forrest+gump+1994', 'what+women+want+2000', 'the+lives+of+others+2006', 'cocaine+cowboys+2006', 'star+trek+insurrection+1998', 'enemy+of+the+state+1998', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'blackrock+1997', 'mickey_+donald_+goofy+the+three+musketeers+2004']
152424	['the+shawshank+redemption+1994', 'the+usual+suspects+1995', 'life+is+beautiful+1997', 'the+princess+bride+1987', 'inglourious+basterds+2009', 'fight+club+1999', 'm+1931', 'the+matrix+1999', 'off+the+charts+the+song-poem+story+2003', 'the+lord+of+the+rings+the+two+towers+2002', 'blade+runner+1982', 'the+lord+of+the+rings+the+return+of+the+king+2003', 'star+wars+1977', 'the+godfather+1972', 'the+dark+knight+2008', 'city+of+god+2002', 'nausica+of+the+valley+of+the+wind+1984', 'raiders+of+the+lost+ark+1981', 'amlie+2001', 'pans+labyrinth+2006']
344662	['the+shawshank+redemption+1994', 'persepolis+2007', 'the+princess+bride+1987', 'the+matrix+1999', 'sunset+boulevard+1950', 'damage+1992', 'amlie+2001', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'django+unchained+2012', 'rashomon+1950', 'a+face+in+the+crowd+1957', 'the+usual+suspects+1995', 'loners+2000', 'bellissima+1951', 'perfect+blue+1997', 'fight+club+1999', 'the+tale+of+the+princess+kaguya+2013', 'before+sunrise+1995', 'the+best+years+of+our+lives+1946', 'i_+robot+2004']
221988	['the+shawshank+redemption+1994', 'the+matrix+1999', 'fight+club+1999', 'a+clockwork+orange+1971', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'forrest+gump+1994', 'city+of+god+2002', 'blade+runner+1982', 'dragon+ball+z+broly+-+second+coming+1994', 'the+lord+of+the+rings+the+return+of+the+king+2003', 'enemy+of+the+state+1998', 'amlie+2001', 'le+trou+1960', 'beauty+and+the+beast+1991', 'the+princess+bride+1987', 'the+cameramans+revenge+1912', 'incendies+2010', 'the+godfather+1972', 'pans+labyrinth+2006', 'madison+avenue+1962']
239030	['the+shawshank+redemption+1994', 'raise+the+red+lantern+1991', 'amlie+2001', 'seven+samurai+1954', 'blade+runner+1982', 'fight+club+1999', 'the+usual+suspects+1995', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'promised+land+2012', 'the+matrix+1999', 'the+great+escape+1963', 'm+1931', 'the+lives+of+others+2006', 'american+beauty+1999', 'persepolis+2007', 'inception+2010', 'forrest+gump+1994', 'a+midsummer+nights+dream+1968', 'fargo+1996', 'savior+1998']
224282	['the+shawshank+redemption+1994', 'amlie+2001', 'fight+club+1999', 'inglourious+basterds+2009', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'the+matrix+1999', 'beauty+and+the+beast+1991', 'a+clockwork+orange+1971', 'aliens+1986', 'schindlers+list+1993', 'persepolis+2007', 'raise+the+red+lantern+1991', 'bridesmaids+2011', 'the+knack...+and+how+to+get+it+1965', 'the+princess+bride+1987', 'shakespeare+in+love+1998', 'harry+potter+and+the+deathly+hallows+part+2+2011', 'm+1931', 'dr.+strangelove+or+how+i+learned+to+stop+worrying+and+love+the+bomb+1964', 'the+godfather+1972']
431540	['the+shawshank+redemption+1994', 'fight+club+1999', 'the+matrix+1999', 'life+is+beautiful+1997', 'the+great+escape+1963', 'inglourious+basterds+2009', 'amlie+2001', 'the+usual+suspects+1995', 'wisconsin+death+trip+1999', 'blade+runner+1982', 'rashomon+1950', 'm+1931', 'the+princess+bride+1987', 'the+muppet+movie+1979', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', '12+angry+men+1957', 'the+lord+of+the+rings+the+return+of+the+king+2003', 'a+face+in+the+crowd+1957', 'lady+and+the+tramp+ii+scamps+adventure+2001', 'bellissima+1951']
331298	['the+shawshank+redemption+1994', 'off+the+charts+the+song-poem+story+2003', 'the+dark+knight+2008', 'an+autumn+afternoon+1962', 'swiss+family+robinson+1960', 'm+1931', 'a+face+in+the+crowd+1957', 'the+lives+of+others+2006', 'the+princess+bride+1987', 'david+copperfield+2001', 'the+godfather+1972', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'rashomon+1950', 'the+matrix+1999', 'raiders+of+the+lost+ark+1981', 'harry+potter+and+the+philosophers+stone+2001', 'killers+from+space+1954', 'mother+lode+1982', 'a+clockwork+orange+1971', 'mr.+troop+mom+2009']
100243	['the+shawshank+redemption+1994', 'raiders+of+the+lost+ark+1981', 'life+is+beautiful+1997', 'fight+club+1999', 'inglourious+basterds+2009', 'the+matrix+1999', 'the+usual+suspects+1995', 'blade+runner+1982', 'amlie+2001', 'the+lives+of+others+2006', 'pans+labyrinth+2006', 'schindlers+list+1993', 'off+the+charts+the+song-poem+story+2003', 'callan+1974', 'house+1977', 'my+son_+my+son_+what+have+ye+done+2009', 'hairspray+2007', 'laventure+cest+laventure+1972', 'the+strange+world+of+planet+x+1958', 'daddy+day+care+2003']
294116	['the+shawshank+redemption+1994', 'blade+runner+1982', 'amlie+2001', 'the+usual+suspects+1995', 'the+matrix+1999', 'the+good_+the+bad+and+the+ugly+1966', 'inglourious+basterds+2009', 'fight+club+1999', 'the+queen+2006', 'the+princess+bride+1987', 'harry+potter+and+the+deathly+hallows+part+1+2010', 'the+lord+of+the+rings+the+return+of+the+king+2003', 'life+is+beautiful+1997', 'winnie+the+pooh+and+the+honey+tree+1966', 'rashomon+1950', 'the+godfather+1972', 'american+beauty+1999', 'flight+of+the+conchords+a+texan+odyssey+2006', 'sunset+boulevard+1950', 'the+silence+of+the+lambs+1991']
171934	['the+shawshank+redemption+1994', 'the+lives+of+others+2006', 'blade+runner+1982', 'the+matrix+1999', 'ratcatcher+1999', 'american+beauty+1999', 'the+godfather+1972', 'inglourious+basterds+2009', 'schindlers+list+1993', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'straight+shooting+1917', 'fight+club+1999', 'raiders+of+the+lost+ark+1981', 'head+office+1985', 'take+care+of+your+scarf_+tatiana+1994', 'walle+2008', 'life+is+beautiful+1997', 'cinderella+man+2005', 'white+shadows+in+the+south+seas+1928', 'm+1931']
419181	['the+usual+suspects+1995', 'a+clockwork+orange+1971', 'the+matrix+1999', 'the+shawshank+redemption+1994', 'sunset+boulevard+1950', 'amlie+2001', 'the+lives+of+others+2006', 'schindlers+list+1993', 'fight+club+1999', 'portrait+of+jennie+1948', 'harry+potter+and+the+prisoner+of+azkaban+2004', 'eddie+murphy+raw+1987', 'a+boy+named+charlie+brown+1969', 'blade+runner+1982', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'flight+of+the+conchords+a+texan+odyssey+2006', 'apocalypse+now+1979', 'powder+1995', 'the+best+years+of+our+lives+1946', 'van+gogh+1991']
96232	['the+matrix+1999', 'the+shawshank+redemption+1994', 'the+usual+suspects+1995', 'seven+samurai+1954', 'a+close+shave+1995', 'life+is+beautiful+1997', 'the+lord+of+the+rings+the+fellowship+of+the+ring+2001', 'sunset+boulevard+1950', 'fight+club+1999', 'a+clockwork+orange+1971', 'the+silence+of+the+lambs+1991', 'forrest+gump+1994', 'the+lord+of+the+rings+the+two+towers+2002', 'run+lola+run+1998', 'beauty+and+the+beast+1991', 'raiders+of+the+lost+ark+1981', 'amlie+2001', 'american+beauty+1999', 'immensee+1943', 'blade+runner+1982']
